id,name,country,type,no_of_employee,in_military_use,govenment_aqcusition
18629,Port of Singapore,Singapore,Marine harbor,97,In Military Use,Private Port
18698,Port of Shanghai,China,Natural harbor,105,Both Pursose,Public Port
18519,Port of Hong Kong,China,Sea harbor,123,In Military Use,Private Port
18522,Port of Rotterdam,Netherlands,River harbor,132,Both Pursose,Government Owned
18538,Port of Busan,South Korea,Canal harborCommercial harbor,90,Both Pursose,Government Owned
18672,Port of Ningbo-Zhoushan,China,River harbor,145,Both Pursose,Non Government
18549,Port of Guangzhou,China,Canal harborCommercial harbor,143,In Military Use,Government Owned
18654,Port of Qingdao,China,Fishery harbor,80,Not In Militry Use,Non Government
18643,Port of Tianjin,China,Natural harbor,72,Not In Militry Use,Public Port
18645,Port of Dubai,United Arab Emirates,Military harbor,92,Both Pursose,Non Government
18615,Port of Antwerp,Belgium,River harbor,118,Not In Militry Use,Private Port
18561,Port of Los Angeles,United States,Artificial harbor,74,Not In Militry Use,Non Government
18500,Port of Hamburg,Germany,River harbor,87,In Military Use,Public Port
18614,Port of Dalian,China,Military harbor,70,Both Pursose,Government Owned
18513,Port of Kaohsiung,Taiwan,Sea harbor,150,Both Pursose,Private Port
18680,Port of Long Beach,United States,Artificial harbor,152,Both Pursose,Public Port
18670,Port of New York and New Jersey,United States,Canal harborCommercial harbor,153,Both Pursose,Non Government
18564,Port of Shenzhen,China,Sea harbor,77,Not In Militry Use,Government Owned
18542,Port of Houston,United States,Artificial harbor,153,Both Pursose,Non Government
18537,Port of Tanjung Pelepas,Malaysia,Canal harborCommercial harbor,116,Not In Militry Use,Private Port
18588,Port of Jebel Ali,United Arab Emirates,Canal harborCommercial harbor,153,Both Pursose,Government Owned
18551,Port of Tangshan,China,Fishery harbor,126,In Military Use,Private Port
18529,Port of Santos,Brazil,River harbor,123,Both Pursose,Government Owned
18595,Port of Khor Fakkan,United Arab Emirates,Sea harbor,137,Not In Militry Use,Public Port
18652,Port of Mumbai,India,Artificial harbor,121,In Military Use,Non Government
18528,Port of Valencia,Spain,Natural harbor,70,In Military Use,Public Port
