id_,sail_ship_id,deaparture_harbour,arrival_harbour,sail_freight_id,container_loaded,payment_currency
32929,78048,18572,18530,1328,110,PYG
25734,77448,18598,18538,1917,55,ILS
26878,79846,18519,18511,1940,207,STD
41727,79703,18606,18614,1816,214,ARS
32985,77482,18553,18576,1807,146,XPF
40583,79183,18509,18585,1995,119,CZK
35259,79965,18654,18565,1756,195,TOP
36636,77976,18555,18640,1810,100,BGN
43215,78417,18516,18538,1909,96,UZS
31893,77970,18614,18522,1895,162,FJD
39762,79644,18563,18500,1883,35,SHP
44269,78550,18691,18524,1883,178,GIP
41734,77112,18595,18562,1995,177,CRC
44677,78267,18536,18567,1777,45,EGP
30414,79270,18646,18538,1744,205,AOA
32365,79917,18569,18664,2030,137,GBP
37862,77744,18516,18673,1910,202,PYG
27715,77490,18628,18590,1345,44,AZN
27846,78003,18671,18585,2018,218,KES
27670,77487,18593,18500,1191,64,BMD
31495,77522,18691,18653,1517,229,UZS
43643,78960,18629,18567,1694,160,NPR
38379,79642,18668,18552,1458,77,UAH
41202,77604,18542,18589,1940,182,NGN
29440,77745,18592,18576,1895,153,UAH
44579,78639,18687,18615,1995,72,AFN
39158,77252,18560,18650,1909,207,MNT
41411,78287,18669,18672,2018,200,TRY
39371,78204,18513,18551,1940,54,GYD
40103,77031,18658,18575,1596,93,ETB
39660,78568,18510,18501,1592,84,SYP
42973,78719,18553,18588,1191,132,NOK
38692,77889,18680,18501,1940,44,ZMW
42376,77960,18691,18516,1756,195,GTQ
29935,77482,18547,18585,1910,86,BZD
32639,79027,18509,18584,1592,108,BHD
26397,79285,18654,18591,1938,117,BBD
40812,79873,18638,18664,1843,147,BRL
42286,79612,18542,18504,1419,143,GGP
41643,77383,18631,18657,1995,54,CRC
32014,77408,18605,18598,1458,121,XAF
37890,78489,18694,18547,1718,162,RUB
41085,79198,18509,18624,2018,37,MWK
38722,79808,18603,18521,1756,200,HTG
25872,77695,18510,18623,1895,188,BWP
44966,78770,18624,18516,1995,245,EGP
32532,79858,18589,18661,1777,50,JOD
32219,79486,18563,18555,1940,175,SLL
32741,78081,18574,18599,1895,105,SCR
38935,79922,18540,18632,1708,61,BYR
36053,77934,18621,18576,1645,221,FJD
25302,79806,18668,18602,1940,148,XOF
27135,77629,18513,18513,1708,33,BDT
26352,79043,18640,18599,1811,41,AWG
25794,77668,18555,18503,1458,187,NZD
27206,79258,18627,18524,1909,138,USD
40950,78742,18654,18628,1372,34,BTN
36167,79526,18559,18641,1901,236,LSL
39055,79565,18688,18581,1191,244,IRR
32093,78461,18581,18519,1645,143,PKR
26041,78168,18552,18528,1596,249,BOB
38364,78170,18623,18599,1810,65,CVE
41089,78173,18503,18593,1780,202,XOF
31788,78417,18654,18541,1191,136,USD
25285,77969,18589,18672,1456,193,SZL
39375,79982,18583,18589,1345,184,MRO
41920,79961,18549,18624,1810,155,ZAR
32414,79968,18670,18623,1991,93,RSD
39114,77325,18530,18554,1596,173,MKD
35282,79653,18620,18657,1800,136,GNF
38273,77685,18524,18521,1811,32,BYR
35843,78045,18643,18698,1883,127,MWK
39803,77786,18680,18640,1702,237,VEF
38040,79097,18629,18575,1456,96,JOD
28733,77395,18643,18640,1811,93,GBP
37503,78653,18632,18615,1909,157,AWG
25027,79697,18595,18585,1386,122,CZK
27352,77703,18684,18530,1816,144,JEP
32745,79578,18531,18503,1895,144,CZK
41811,79102,18661,18564,1627,209,HRK
38486,78516,18583,18691,1991,238,IDR
32434,79126,18543,18537,1617,95,CUP
44586,79494,18680,18588,1938,74,AWG
31478,79989,18657,18599,1458,146,MOP
31335,78854,18593,18582,1627,201,PHP
26265,78208,18615,18540,1328,111,MRO
25910,78213,18621,18688,1810,198,HUF
43821,77703,18576,18543,1816,86,NAD
41332,79222,18521,18567,1995,30,MWK
31829,78738,18698,18623,1456,96,BWP
34380,77878,18631,18501,1596,79,KGS
28391,77844,18686,18599,1811,53,YER
31830,77210,18657,18693,1456,187,LTL
39744,79676,18565,18571,1895,196,GNF
40828,77100,18698,18576,1816,236,LRD
36601,79608,18585,18540,1274,184,TVD
36727,77291,18559,18503,1380,57,DJF
26787,77291,18510,18509,1995,61,CUP
31637,77934,18658,18539,1917,147,CDF
29860,77044,18683,18522,1645,202,NGN
36693,77139,18694,18530,1694,96,LTL
33421,79356,18627,18629,1345,155,BHD
30896,77302,18582,18591,1408,175,NGN
37257,78154,18643,18554,1991,184,SLL
37318,78230,18595,18669,1910,171,IMP
39223,78585,18605,18606,1777,225,ILS
31424,78213,18652,18547,1617,149,LKR
31825,77604,18695,18658,1811,174,XAF
37935,79873,18681,18625,1517,58,HTG
35785,77703,18614,18598,1995,209,INR
40455,78684,18588,18572,1895,35,HRK
37140,78696,18606,18561,2008,34,RWF
27024,79965,18624,18621,1191,249,BMD
34004,79093,18551,18629,1843,154,CUC
26306,77239,18620,18625,1274,201,FJD
37999,78350,18625,18695,1901,223,BTN
38585,77311,18693,18548,1780,222,TJS
38452,79982,18656,18670,1427,39,TZS
31600,77986,18602,18673,1191,165,PEN
25475,79270,18540,18503,1910,195,SRD
25255,78287,18521,18528,1718,75,XOF
36487,78742,18661,18542,1995,87,CHF
27120,78154,18667,18581,1938,89,SLL
38770,78308,18652,18579,1940,245,CUP
27365,77154,18628,18624,1800,184,PGK
41770,79968,18639,18639,1938,211,FJD
40524,77522,18569,18688,1807,114,TTD
36766,78659,18639,18641,1780,63,LKR
26301,79634,18638,18593,1807,68,YER
35209,79111,18608,18552,1800,45,BMD
37995,77368,18684,18614,1917,153,BDT
43878,79027,18613,18590,1995,33,KWD
25358,79896,18676,18613,1408,69,AED
34303,79873,18613,18656,1274,114,ERN
27205,79676,18670,18531,1517,115,AFN
30357,79237,18581,18613,2018,123,BRL
29369,78998,18583,18639,1702,209,GHS
32841,79841,18530,18593,1191,248,TND
25438,77123,18675,18561,1645,140,ANG
41958,77224,18661,18565,1940,244,VND
38414,77238,18571,18575,1274,206,YER
43135,79027,18536,18560,1380,133,AZN
31638,78045,18684,18615,1345,186,GEL
35710,78300,18529,18547,1910,231,PYG
43531,78875,18681,18657,1372,93,HUF
29451,77884,18590,18621,1458,139,GEL
30483,77986,18563,18627,1777,77,NIS
44703,78194,18540,18588,1380,51,MMK
32262,79258,18572,18513,1627,233,UGX
31662,77684,18700,18575,1811,119,GHS
25742,79901,18519,18562,1955,130,YER
32398,78550,18537,18613,1955,230,HRK
38557,78548,18528,18605,1901,195,GYD
29593,79805,18574,18591,1191,196,ILS
38351,79186,18640,18632,1191,54,GYD
40057,78300,18560,18669,1345,236,SLL
43094,79142,18589,18646,2018,127,WST
31438,78585,18547,18604,1780,142,PHP
33863,78208,18588,18670,1592,187,GHS
31309,77613,18651,18559,1419,194,GMD
41535,79649,18567,18569,1530,219,LBP
25724,77007,18693,18646,1694,189,EGP
43736,77383,18662,18662,1456,224,TND
38437,79395,18694,18536,1845,246,GYD
28086,77352,18665,18582,1718,226,KYD
32146,78242,18658,18553,1909,232,AUD
32673,78110,18513,18698,1400,175,HUF
33976,77594,18521,18529,1708,106,UAH
41130,77955,18675,18548,1718,76,NZD
43826,77294,18627,18651,1807,180,NIO
37568,78154,18625,18530,1883,69,ARS
38320,77044,18638,18548,1807,109,GGP
31931,78190,18581,18538,1627,228,BBD
34084,78546,18646,18548,1938,194,MYR
25660,79859,18638,18608,1807,215,PKR
32043,77079,18524,18646,1995,106,PEN
40587,79356,18555,18594,1380,82,MVR
42815,78120,18537,18688,1627,175,JMD
25902,78659,18551,18584,1191,153,HKD
29927,79634,18623,18537,1940,205,PEN
38968,77208,18643,18522,1372,96,MWK
38829,77825,18540,18574,1883,61,SYP
37198,77031,18695,18641,1408,231,NZD
41610,78388,18614,18575,1530,113,TTD
38979,77976,18541,18602,1456,169,NPR
43008,78130,18589,18571,1274,90,XAF
25347,78696,18668,18521,1345,47,CHF
38906,78095,18538,18668,2030,142,MOP
31159,78573,18562,18575,1380,87,XPF
39617,79621,18664,18589,1810,200,SPL
28556,77769,18623,18569,2030,62,KPW
32757,78794,18536,18667,1191,167,CNY
40713,79017,18548,18542,1592,57,SVC
29340,79345,18638,18590,2030,152,JEP
43927,78209,18615,18513,1718,169,AWG
42716,78308,18510,18583,1843,153,HNL
25023,77928,18585,18559,1744,59,COP
39572,79858,18537,18688,1901,200,PGK
34425,77711,18624,18569,1702,100,BHD
41416,77079,18691,18547,1645,160,IRR
43702,77629,18522,18594,1427,189,HNL
37959,79290,18545,18680,1456,139,RUB
29889,79257,18628,18639,1810,239,JEP
40069,79409,18651,18624,1901,79,XPF
29185,77960,18571,18673,1345,197,ALL
43234,79661,18581,18687,1702,82,PKR
26637,78194,18621,18668,1807,227,TVD
44391,78097,18620,18554,2030,57,BMD
38728,79345,18683,18628,2030,87,SPL
32428,79010,18614,18582,2018,107,INR
43187,78218,18593,18668,1694,61,MYR
37606,78473,18565,18549,1901,154,PEN
26620,79695,18583,18571,1592,129,GEL
34798,77695,18588,18537,1811,59,SVC
41094,77294,18643,18565,2018,69,PYG
29081,79017,18536,18625,1955,219,VND
40131,77278,18606,18676,1777,245,BGN
43356,78735,18556,18540,1191,118,DOP
33091,79446,18650,18554,1368,143,SBD
27067,78108,18627,18590,1811,97,AUD
41355,77626,18555,18687,1843,165,JMD
38931,78630,18569,18589,1810,83,CNY
34267,79578,18683,18620,1807,244,XOF
33127,79661,18530,18658,1458,169,SZL
44609,79642,18662,18542,1991,60,HRK
40770,77408,18650,18536,1386,221,BOB
28604,78308,18656,18662,1708,35,BZD
26176,78463,18575,18560,1816,48,AFN
39945,77143,18656,18559,1617,140,INR
41257,79290,18569,18528,1938,223,XPF
32430,77620,18500,18668,1458,37,EGP
39868,77112,18646,18691,1380,116,XAF
31659,78194,18629,18694,1517,244,BHD
33490,78076,18698,18629,1910,209,JEP
31595,77976,18602,18621,1386,95,GHS
32276,79634,18676,18591,1811,213,CNY
42283,77769,18688,18564,1596,31,TZS
40672,79305,18530,18694,1938,46,KMF
33090,78473,18672,18664,1843,106,RON
44136,79783,18510,18687,1702,196,IRR
39013,77769,18661,18657,1777,143,TND
31293,77113,18554,18683,2008,241,BZD
35017,78996,18542,18598,1645,168,IDR
36832,78696,18693,18540,1400,246,YER
36419,77703,18640,18628,1780,36,MOP
27003,77928,18606,18657,1800,171,VND
43225,79511,18625,18530,1419,69,NIS
40461,79285,18650,18569,1517,220,PKR
41296,78876,18531,18559,1810,180,TZS
44459,77594,18551,18664,1895,99,AZN
30544,77862,18653,18628,1895,30,EGP
25620,78230,18661,18675,1456,123,TZS
32826,79183,18693,18528,1596,235,MNT
40772,77862,18606,18658,1191,37,DOP
37715,78684,18698,18653,1517,42,FKP
43239,78173,18561,18638,1810,236,XAF
31063,78379,18641,18639,1807,130,PHP
42052,77877,18589,18559,2018,106,DOP
37340,79350,18613,18545,2008,148,AUD
26650,77031,18516,18621,1419,104,CLP
40177,79870,18501,18529,1592,72,AFN
40402,77862,18670,18694,1955,98,MVR
27588,79875,18631,18582,1694,85,PYG
36726,78377,18541,18511,1917,221,NIO
43155,77877,18539,18695,1380,207,XDR
27235,79723,18565,18565,1800,197,TMT
34881,77668,18563,18547,1368,150,XPF
31108,79712,18639,18509,1328,145,SRD
42142,77011,18695,18574,1708,89,HNL
37555,79305,18554,18513,1456,178,MXN
43527,79952,18688,18592,1909,225,MDL
41564,79198,18694,18524,1427,139,CHF
34802,79952,18585,18671,2030,97,GBP
42461,77044,18545,18683,1408,217,AZN
27404,77193,18684,18614,1368,229,BDT
36026,78690,18687,18548,2030,225,BZD
27594,79723,18657,18603,1955,204,MMK
38042,79818,18670,18592,1895,71,UYU
